Museum,MuseumCat#,Subspecies,Locality,lat,long,type,Sex,CPL,CIL,UTL,MTL,PPL,MB,LB,LIB,ZB,BB,LPL,CNL,PBPL,LTPL,LCH,MCH,MCW,MCIL,LTL
BMNH,47.1494,T. t. banguei,Offshore Islands,7.257805556,117.15325,type,m,50.7,49.88,29.62,20.01,32.23,17.79,19.73,14.63,26.08,19.67,55.03,49.36,39.89,28.42,12.67,8.26,3.52,40.7,27.5
FMNH,140934,T. t. banguei,Offshore Islands,7.1175,117.0761111,,m,49.85,48.72,28.41,18.88,31.29,17.85,18.89,14.29,26.04,19.03,53.82,49.13,38.1,27.28,12.99,9.32,3.37,40.32,26.67
FMNH,141344,T. t. banguei,Offshore Islands,7.283305556,117.0999722,,f,51.14,49.68,28.63,19.73,32.05,17.25,18.9,13.92,24.09,19.39,54.67,49.73,39.29,28.16,12.71,8.95,3.17,40.57,27
FMNH,141346,T. t. banguei,Offshore Islands,7.283305556,117.0999722,,f,,,29.22,19.56,32.72,,18.51,14.74,24.96,,,,39.82,28.51,,9.18,3.33,41,27.73
USNM,142247,T. t. besara,Mainland Borneo,-0.190444444,109.9185833,type,m,59.8,57.91,34.51,23.15,38.29,20.3,22.42,16.55,29.18,20.9,64.72,58.07,47.16,34.57,15.22,10.82,3.87,47.52,32.1
AMNH,106884,T. t. besara,Mainland Borneo,0.883333333,110.1666667,,f,54.89,53.5,32.15,20.57,34.77,19.08,19.24,14.6,25.28,20.12,59.88,53.43,42.82,31.64,13.57,9.65,3.67,45.01,30.91
AMNH,106993,T. t. besara,Mainland Borneo,0.883333333,110.1666667,,f,57.31,56.33,33.4,20.7,36.37,19.52,20.08,15.12,27.14,20.32,61.15,57.65,44.83,31.95,14.19,10.01,4.03,46.59,31.62
USNM,101640,T. t. bunoae,Offshore Islands,0.933055556,107.4710556,type,f,53.41,52.09,30.13,19.95,33.1,18.32,19.68,15.21,25.64,19.71,57.6,51.94,41.72,30.17,13.31,9.88,3.74,42.75,28.45
USNM,101641,T. t. bunoae,Offshore Islands,0.933333333,107.45,,m,53.1,52.25,30.19,19.93,32.44,18.48,19.91,15.23,26.29,19.84,57.16,51.32,40.93,29.76,13.62,9.39,3.73,42.36,28.48
USNM,101653,T. t. bunoae,Offshore Islands,0.966666667,107.5666667,,f,,,29.69,19.71,32.42,,19.59,15.24,,,55.87,,40.77,29.52,,8.66,3.09,42.21,27.88
USNM,101654,T. t. bunoae,Offshore Islands,0.966666667,107.5666667,,m,51.05,,,18.16,32.04,17.55,20.43,15.71,24.96,19.46,55.87,50.25,40.3,29.09,13.71,8.86,3.23,40.57,26.21
USNM,121754,T. t. cervicalis,Offshore Islands,-0.409555556,98.44105556,type,m,54.38,52.64,31,21.55,34.16,17.29,19.86,14.44,24.77,19.77,58.52,51.91,42.32,30.85,14.42,9.4,3.3,43.3,29.35
USNM,121753,T. t. cervicalis,Offshore Islands,-0.416666667,98.41666667,,f,54.25,,,,34.12,18.69,19.56,14.5,25,20.12,58.47,52.14,42,30,14.22,8.61,3.24,42.71,29.06
