Museum,MuseumCat#,Subspecies,Locality,lat,long,type,Sex,MTL,PPL,LB,LIB,PBPL,LTPL,MCH,MCW
FMNH,140934,banguei,Offshore Islands,7.1175,117.0761111,,m,18.88,31.29,18.89,14.29,38.1,27.28,9.32,3.37
FMNH,141344,banguei,Offshore Islands,7.283305556,117.0999722,,f,19.73,32.05,18.9,13.92,39.29,28.16,8.95,3.17
FMNH,141346,banguei,Offshore Islands,7.283305556,117.0999722,,f,19.56,32.72,18.51,14.74,39.82,28.51,9.18,3.33
USNM,101640,bunoae,Offshore Islands,0.933055556,107.4710556,type,f,19.95,33.1,19.68,15.21,41.72,30.17,9.88,3.74
USNM,101641,bunoae,Offshore Islands,0.933333333,107.45,,m,19.93,32.44,19.91,15.23,40.93,29.76,9.39,3.73
USNM,101653,bunoae,Offshore Islands,0.966666667,107.5666667,,f,19.71,32.42,19.59,15.24,40.77,29.52,8.66,3.09
USNM,101654,bunoae,Offshore Islands,0.966666667,107.5666667,,m,18.16,32.04,20.43,15.71,40.3,29.09,8.86,3.23
USNM,104711,sirhassenensis,Offshore Islands,2.5,109.05,,f,20.78,33.66,19.31,14.36,41.91,30.23,9.97,3.74
USNM,104712,sirhassenensis,Offshore Islands,2.5,109.05,type,m,19.94,31.92,18.84,14.3,39.52,28.49,9.43,3.31
USNM,104713,sirhassenensis,Offshore Islands,2.5,109.05,,f,19.91,32.96,19.23,13.67,40.65,29.7,9.29,3.51
BMNH,94.9284,sirhassenensis,Offshore Islands,2.5,109.05,,m,20.17,32.27,19.3,13.9,39.34,28.31,9.7,3.63
BMNH,47.1494,banguei,Offshore Islands,7.257805556,117.15325,type,m,20.01,32.23,19.73,14.63,39.89,28.42,8.26,3.52
FMNH,85073,kretami,Mainland Borneo,5.351944444,117.40875,,f,22.06,,,,,,10.53,3.48
FMNH,85072,kretami,Mainland Borneo,5.351944444,117.40875,,f,20.16,34.91,20.07,15.29,43.28,31.81,9.43,3.26
FMNH,85071,kretami,Mainland Borneo,5.351944444,117.40875,,f,21,34.12,19.71,14.9,42.26,30.09,9.28,3.6
FMNH,76812,paitana,Mainland Borneo,5.581222222,118.0183889,,f,20.26,35.45,20.01,15.3,44.07,31.68,9.34,3.61
FMNH,76892,paitana,Mainland Borneo,5.581222222,118.0183889,,f,19.87,34.21,19.63,14.35,42.8,30.35,9.55,3.47
FMNH,68799,paitana,Mainland Borneo,5.581222222,118.0183889,,f,21.7,35.14,20.56,15.38,43.73,31.45,9.58,3.72
FMNH,76803,paitana,Mainland Borneo,5.581222222,118.0183889,,f,21.79,36.17,18.8,14.71,43.32,31.41,9.85,3.64
FMNH,76807,paitana,Mainland Borneo,5.581222222,118.0183889,,f,20.83,34.8,19.32,15.04,43.22,31.14,8.96,3.45
FMNH,76808,paitana,Mainland Borneo,5.581222222,118.0183889,,f,21.9,36.73,21.06,15.78,45.38,33.07,9.87,3.72
FMNH,76809,paitana,Mainland Borneo,5.581222222,118.0183889,,f,20.96,34.65,20.89,15.39,43.22,31.36,10.04,3.72
FMNH,76813,paitana,Mainland Borneo,5.581222222,118.0183889,,f,22.87,37.88,20.12,16.05,46.13,33.93,9.84,4.19
FMNH,76810,paitana,Mainland Borneo,5.581222222,118.0183889,,f,22.03,35.45,20.61,14.65,44.36,32.36,10.09,3.61
FMNH,76811,paitana,Mainland Borneo,5.581222222,118.0183889,,f,21.87,36.69,19.95,14.78,45.37,32.94,9.28,3.6
FMNH,68791,kretami,Mainland Borneo,5.459472222,118.1758611,,f,20.41,33.86,20.28,16.02,41.55,29.84,9.5,3.95
FMNH,68797,kretami,Mainland Borneo,5.581222222,118.0183889,,f,20.16,34.46,19.63,15.69,42.51,31.04,9.32,3.61
FMNH,76801,paitana,Mainland Borneo,5.581222222,118.0183889,,m,21.27,35.97,20.98,15.79,45.4,32.46,9.28,3.65
FMNH,76802,paitana,Mainland Borneo,5.581222222,118.0183889,,m,20.39,34.84,21.13,15.71,43.37,31.24,9.51,4
FMNH,76805,paitana,Mainland Borneo,5.581222222,118.0183889,,m,22.27,36.72,21.09,14.87,45.35,33,10.23,3.8
FMNH,68796,kretami,Mainland Borneo,5.459472222,118.1758611,,m,19.09,32.95,20.17,15.31,41.5,29.41,8.65,3.33
FMNH,68798,kretami,Mainland Borneo,5.459472222,118.1758611,,m,21.11,34.96,20.21,16.11,43.59,31.58,10.24,3.73
FMNH,68793,kretami,Mainland Borneo,5.459472222,118.1758611,,m,20.92,34.45,20.8,15.68,41.94,30.45,9.56,3.58
FMNH,68794,kretami,Mainland Borneo,5.481638889,118.5931944,type,m,21.26,34.28,20.44,16.07,42.4,30.6,9.72,3.53
FMNH,68795,kretami,Mainland Borneo,5.459472222,118.1758611,,m,19.69,33.04,,15.37,41.91,30.2,9.54,3.68
FMNH,68788,kretami,Mainland Borneo,5.459472222,118.1758611,,m,20.9,34.04,20.22,15.59,42.07,30.48,9.31,3.74
FMNH,68789,kretami,Mainland Borneo,5.459472222,118.1758611,,m,19.92,33.98,20.99,16.04,41.95,30.23,10,3.51
FMNH,68790,kretami,Mainland Borneo,5.459472222,118.1758611,,m,21.3,34.23,19.89,,42.63,30.5,9.6,3.91
FMNH,33031,paitana,Mainland Borneo,5.807388889,117.7876389,,m,22.15,35.33,19.18,15.35,44.37,31.59,9.9,3.82
FMNH,33032,paitana,Mainland Borneo,5.807388889,117.7876389,,m,21.05,37.04,20.59,15.02,46.28,34.34,9.19,3
FMNH,33033,paitana,Mainland Borneo,5.807388889,117.7876389,,m,22.91,36.33,21.1,,44.95,32.67,9.76,3.94
FMNH,88591,utara,Mainland Borneo,1.867416667,113.0258056,,m,20.02,33.66,19.83,14.94,43.13,30.68,9.56,3.68
FMNH,88368,kelabit,Mainland Borneo,3.71875,115.4438611,,,19.21,34.23,20.6,16.02,43.35,31.55,9.08,3.43
FMNH,80087,nitida,Mainland Borneo,1.526888889,110.3131111,,f,22.21,38.98,21.49,15.75,46.88,34.88,10.34,4.23
FMNH,80093,nitida,Mainland Borneo,1.527888889,110.3411111,,f,,38.53,20.94,15.87,46.89,34.31,11.18,4.06
FMNH,80092,nitida,Mainland Borneo,1.526888889,110.3131111,,f,,35.67,,15.14,44.03,31.75,9.42,3.71
FMNH,80091,nitida,Mainland Borneo,1.535611111,110.3284167,,f,21.58,37.4,20.66,15.77,45.47,33.63,10.41,3.93
FMNH,80086,nitida,Mainland Borneo,1.527888889,110.3411111,,m,,36.34,20.63,14.71,45.67,33.29,10.03,3.58
FMNH,80090,nitida,Mainland Borneo,1.535611111,110.3284167,,m,,38.06,21.91,16.55,46.78,34.51,9.77,3.47
USNM,19187,utara,Mainland Borneo,5.683333333,118.3833333,,m,21.19,35.34,21.44,15.86,43.95,31.68,9.77,3.24
USNM,19202,utara,Mainland Borneo,5.65,118.1166667,,m,21.32,35.26,20.5,14.58,,31.28,,
USNM,19224,utara,Mainland Borneo,5.5,117,,sex unknown,20.41,33.56,,14.69,41.41,,,
USNM,83938,utara,Mainland Borneo,4.6,113.9666667,,f,20.91,36.17,20.92,15.43,,33,10.11,3.94
USNM,142247,besara,Mainland Borneo,-0.190444444,109.9185833,type,m,23.15,38.29,22.42,16.55,47.16,34.57,10.82,3.87
USNM,145574,tana,Mainland Borneo,-1.05,110.1,,f,20.11,34.48,19.85,14.58,43.32,31.31,9.61,3.21
