Museum,MuseumCat#,Subspecies,Locality,lat,long,type,Sex,PPL,MB,LIB,ZB,BB,MCH,MCW,MCIL
USNM,101597,T. t. lingae,Offshore Islands,-0.168277778,104.6343333,type,m,32.01,17.26,14.14,24.88,19.39,7.76,3.3,40.2
USNM,114412,T. t. tuancus,Offshore Islands,2.141611111,97.28769444,type,m,32.73,17.74,15.34,26.48,20.59,9.65,3.93,42.84
USNM,114413,T. t. tuancus,Offshore Islands,2.166666667,97.26666667,,f,33.2,18.16,15.37,25.67,20.82,9.18,3.39,42.18
USNM,121753,T. t. cervicalis,Offshore Islands,-0.416666667,98.41666667,,f,34.12,18.69,14.5,25,20.12,8.61,3.24,42.71
USNM,121754,T. t. cervicalis,Offshore Islands,-0.409555556,98.44105556,type,m,34.16,17.29,14.44,24.77,19.77,9.4,3.3,43.3
USNM,121835,T. t. masae,Offshore Islands,-0.110166667,98.42047222,type,f,33.86,17.85,14.76,25.48,19.1,9.18,3.09,43.34
BMNH,7.6186,T. t. masae,Offshore Islands,-0.110166667,98.42047222,,f,34.23,18.64,15.2,26.21,20.45,7.72,3.27,43.72
USNM,174612,T. t. tana,Mainland Sumatra,-3.75,98.73333333,,sex unknown,33.4,18.67,14.8,24.91,19.99,8.68,3.07,42.71
AMNH,106483,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,m,33.68,18.16,15.07,25.84,19.69,9.34,3.15,43.31
AMNH,106485,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,f,35.41,18.74,14.76,24.8,20.12,9.37,2.93,45.09
AMNH,102511,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,m,34.45,17.85,15.82,24.8,20.16,8.79,3.14,43.81
AMNH,102515,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,f,33.97,18.82,15.17,26.09,20.01,9.41,3.42,43.36
AMNH,102516,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,f,32.7,17.85,14.52,23.79,18.88,8.81,2.99,42.25
AMNH,102517,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,f,,18.06,13.59,24.22,19.48,8.58,3.08,41.49
AMNH,102519,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,m,31.67,18.53,14.78,24.78,20.05,8.75,3.03,41.24
AMNH,102523,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,m,34.7,18.56,15.26,24.82,20.43,8.97,2.67,43.57
AMNH,102525,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,f,32.69,18.2,13.82,,20.11,9.49,2.86,
AMNH,106477,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,m,32.92,18.35,13.88,24.92,20.05,8.69,3.01,42.54
AMNH,106479,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,m,36.26,18.39,15.8,26.05,20.33,9.18,3.29,46.59
AMNH,106481,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,f,35.32,18.37,15.38,25.61,20.86,8.81,2.84,44.57
AMNH,106482,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,f,34.94,18.95,14.98,25.62,20.97,8.72,3.1,44.59
AMNH,106486,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,m,33.8,18.47,15.02,24.99,20.41,7.97,2.78,43.44
AMNH,106488,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,m,34.47,18.54,14.77,25.03,20.06,9.41,3.22,44.18
AMNH,106489,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,f,35.46,17.96,14.73,25.33,20.33,8.94,3.59,44.64
AMNH,106490,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,m,34.42,18.22,15.13,25.17,20.52,8.81,3.11,44.36
AMNH,106491,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,f,35.11,19.06,15.3,25.25,20.65,9.12,3.01,44.8
AMNH,106476,T. t. tana,Mainland Sumatra,-5.114833333,104.9280278,,f,32.45,17.63,13.23,22.68,19.63,8.49,2.79,41.3
AMNH,106478,T. t. tana,Mainland Sumatra,-5.114833333,104.9280278,,f,35.12,19.3,14.78,25.69,20.95,8.51,3.23,44.32
AMNH,102829,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,32.03,18.39,14.51,24.78,20.38,8.83,2.81,42.27
AMNH,102830,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,31.88,18.09,,24.73,19.8,9.08,3.06,41.84
AMNH,102831,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,33.42,17.9,14.65,24.8,19.83,9.49,3.11,43.39
AMNH,102832,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,33.05,17.92,14.35,24.49,19.65,8.67,3.02,42.46
AMNH,102833,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,32.47,18.44,14.93,24.97,20.43,9.01,3.17,42.11
AMNH,102834,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,32.83,18.2,14.92,24.94,19.88,8.33,3.11,42.16
AMNH,102835,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,32.65,17.65,14.81,25.15,20.13,8.34,3.18,41.71
AMNH,102836,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,32.39,18.3,15.1,25.41,20.11,9.17,2.9,42.1
AMNH,102838,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,33.33,17.82,15,24.39,19.27,8.94,3.08,42.47
AMNH,102839,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,33.3,17.95,14.42,24.65,19.9,8.34,3.11,42.24
AMNH,102840,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,32.31,18.31,14.2,25.74,20.06,9.14,3.26,41.21
AMNH,102841,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,31.72,17.42,14.27,24.57,19.12,8.42,3.14,
AMNH,102842,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,32.26,17.94,14.45,24.3,19.97,9.22,2.94,41.95
AMNH,102843,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,32.81,18.06,14.43,24.27,19.51,9.05,3.04,42.48
AMNH,102164,T. t. tana,Mainland Sumatra,-3.3,102.8666667,,f,34.62,,,,,,,
AMNH,102853,T. t. tana,Mainland Sumatra,-5.668444444,105.5828333,,f,32.98,18.43,15.36,24.93,20.24,9.24,3.27,42.55
AMNH,102854,T. t. tana,Mainland Sumatra,-5.668444444,105.5828333,,m,31.26,17.64,14.41,23.87,19.47,8.21,2.82,40.96
