INST,number,Subspecies,Locality,lat,long,1MD,1PPD,2PPL,2PPW,4PPW,5MW,5PPW
USNM,101640,T. t. bunoae,Offshore Islands,0.933055556,107.4710556,0.92,0.82,5.84,1.01,1.04,0.81,0.91
USNM,101641,T. t. bunoae,Offshore Islands,0.933333333,107.45,0.85,,5.2,0.95,0.99,0.91,0.85
USNM,101654,T. t. bunoae,Offshore Islands,0.966666667,107.5666667,0.77,0.75,5.33,0.86,0.92,0.94,0.89
USNM,104711,T. t. sirhassenensis,Offshore Islands,2.5,109.05,0.82,0.82,5.75,0.86,0.92,0.95,0.88
USNM,104712,T. t. sirhassenensis,Offshore Islands,3.997138889,108.2495,0.8,0.78,5.53,0.87,0.84,0.96,0.83
USNM,104713,T. t. sirhassenensis,Offshore Islands,2.5,109.05,0.9,0.82,5.29,0.91,0.85,0.83,0.77
FMNH,140935,T. t. banguei,Offshore Islands,7.283305556,117.0999722,0.93,0.79,5.68,0.96,0.98,0.96,0.78
FMNH,140936,T. t. banguei,Offshore Islands,7.283305556,117.0999722,0.85,0.82,5.58,0.98,0.97,0.95,0.87
AMNH ,106884,T. t. besara,Mainland Borneo,0.883333333,110.1666667,0.83,0.88,5.94,0.97,1.07,1.09,0.96
AMNH ,106993,T. t. besara,Mainland Borneo,0.883333333,110.1666667,0.89,0.85,6.12,0.94,0.9,1.1,
USNM,142247,T. t. besara,Mainland Borneo,-0.190444444,109.9185833,1.04,0.97,6.64,1,0.97,,1.08
FMNH,88368,T. t. kelabit,Mainland Borneo,3.716333333,115.4429444,0.81,0.87,6.09,1.03,0.97,,
FMNH,68789,T. t. kretami,Mainland Borneo,5.459472222,118.1758611,0.71,0.82,5.48,0.93,0.9,0.98,0.91
FMNH,68790,T. t. kretami,Mainland Borneo,5.459472222,118.1758611,0.86,0.77,5.77,0.96,0.96,0.88,0.87
FMNH,68793,T. t. kretami,Mainland Borneo,5.459472222,118.1758611,0.84,0.96,5.69,0.97,0.97,0.93,
FMNH,68795,T. t. kretami,Mainland Borneo,5.459472222,118.1758611,1.05,,4.55,0.96,0.93,0.96,0.86
FMNH,68797,T. t. kretami,Mainland Borneo,5.459472222,118.1758611,0.83,0.84,5.62,0.96,0.97,0.99,0.97
FMNH,68798,T. t. kretami,Mainland Borneo,5.459472222,118.1758611,0.8,0.8,4.31,0.87,0.95,0.98,0.85
FMNH,85071,T. t. kretami,Mainland Borneo,5.351944444,117.40875,0.82,0.88,5.98,0.93,0.91,0.98,0.75
FMNH,85073,T. t. kretami,Mainland Borneo,5.351944444,117.40875,0.86,0.83,6.53,1,0.95,0.92,0.82
FMNH,80086,T. t. nitida,Mainland Borneo,1.527888889,110.3411111,0.92,0.83,,1.02,0.89,1.14,0.93
