subsp.,Locality,Quantity,Latitude,Longitude
T. t. banguei,"Malaysia: Sabah; Banggi I, Kalangkaman, Banggi Peak, 40m",2,7.283305556,117.0999722
T. t. banguei,"Malaysia: Sabah; Banggi I, Wak-Wak, 40m (Wak-wak not on Calle)",,7.1175,117.0761111
T. t. banguei,"Sabah; Banggi I, Kalangkaman, Banggi Peak, 50m",2,7.283305556,117.0999722
T. t. besara,Borneo; Kalimantan Barat; Perboeah  VERB LOC=N.W. Borneo: Perboewa (Landak),2,0.883333333,110.1666667
T. t. bunoae,"Sumatra; Riau Province, Tambelan Islands, Pulo Bunda (Benua) (=Pulau Benua).  0056--N,  10727--E",1,0.933333333,107.45
T. t. bunoae,"Sumatra; Riau Province, Tambelan Islands, Tambelan Island.  0058--N,  10734--E",2,0.966666667,107.5666667
T. t. cervicalis,"Indonesia: Sumatra: North Sumatra Province, Batu Islands, Tana Bala (=Tanahbala); Tanahbala, Pulau",,-0.416666667,98.41666667
T. t. cervicalis,"Sumatra; North Sumatra Province, Batu Islands, Tanahbala (=Pulau Tanahbala).  0025--S,  09825--E",1,-0.416666667,98.41666667
T. t. chrysura,"Labuan, North Borneo",,5.466666667,115.3833333
T. t. kelabit,"Sarawak; Fourth Division, T. t. kelabit Plateau, Pa Umur, 3500f",1,3.716333333,115.4429444
T. t. kretami,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam R",2,5.459472222,118.1758611
T. t. kretami,"Malaysia: Sabah; Kinabatangan Dist, Deramakot",,5.351944444,117.40875
T. t. kretami,"Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",6,5.459472222,118.1758611
T. t. kretami,"Sabah; Kinabatangan Dist, Deramakot",2,5.351944444,117.40875
T. t. lingae,,,-0.168277778,104.6343333
T. t. masae,,,-0.110166667,98.42047222
T. t. nitida,"Sarawak; First Div, Kuching, mi 4 on Stapok Rd, in Forest Resforest",2,1.526888889,110.3131111
T. t. nitida,"Sarawak; First Div, Kuching, mi 5 on Stapok Rd, in Forest Resforest",2,1.535611111,110.3284167
T. t. nitida,"Sarawak; First Div, Kuching, mi 6 on Rock Rd, Virgin Jungle",2,1.527888889,110.3411111
T. t. nitida,"Sarawak: Bukar, Samarahan",2,1.766666667,110.8166667
T. t. nitida,"Sarawak: Mora Barue, Samarahan",,1.766666667,110.8166667
T. t. nitida,"Sarawak: Ulu Anyut, Paku, Sarebas",,1.9,111.9
T. t. paitana,Borneo: Sabah,2,5.319944444,116.9516667
T. t. paitana,"Borneo: Sabah; Kampong Bongkud, Ranau District, Nabong Forest.  0602--N,  11643--E, 1500 f",1,6.033333333,116.7166667
T. t. paitana,"Borneo: Sabah; Kampong Morok, Ranau District, Morok Forest.  0601--N,  11652--E, 1500 f",7,6.016666667,116.8666667
T. t. paitana,"Borneo: Sabah; Kampong Nalapak, Ranau District, Hutan Malacau.  0607--N,  11648--E, 1500 f",1,6.116666667,116.8
T. t. paitana,"Borneo: Sabah; Kinabalu Park, Near Poring.  0605--N,  11643--E, CA. 700 m",4,6.083333333,116.7166667
T. t. paitana,"Borneo: Sabah; Mount Kinabalu National Park, Ranau District, Poring.  0600--N,  11641--E, 1300-1600 f",11,6,116.6833333
T. t. paitana,"Borneo: Sabah; Ranau.  0558--N,  11641--E",2,5.966666667,116.6833333
T. t. paitana,"Malaysia, Borneo, Sabah",2,5.319944444,116.9516667
T. t. paitana,"Malaysia: Sabah; East Coast Residency, Sandakan Dist, Sapagaya Forest Res",11,5.581222222,118.0183889
T. t. paitana,"Malaysia: Sabah; Sandakan, mi. 8",,5.807388889,117.7876389
T. t. paitana,"Sabah; East Coast Residency, Sandakan Dist, Sapagaya Forest Res",2,5.581222222,118.0183889
T. t. paitana,"Sabah; Sandakan, mi. 8",1,5.807388889,117.7876389
T. t. sirhassenensis,"Indonesia: Sumatra; Riau Province, Natuna Selatan Islands, Sirhassen (Serasan)",,2.5,109.05
T. t. sirhassenensis,"Indonesia: Sumatra; Riau Province, Natuna Selatan Islands, Sirhassen (Serasan). 0230--N, 10903--E",,2.5,109.05
T. t. sirhassenensis,Sirhassen Islands,,2.5,109.05
T. t. sirhassenensis,"Sumatra; Riau Province, Natuna Islands, Sirhassen Island (Serasan).  0230--N,  10903--E",2,2.5,109.05
