INST,number,Subspecies,Locality,lat,long,1DPL,1MD,1PPD,1DPD,2PPL,2DPL,2PPW,2DPW,4ML,4MW,4PPW,4DPW,5ML,5PPL,5MW,5PPW,BorneanLocality
FMNH,140935,T. t. banguei,Offshore Islands,7.283305556,117.0999722,3.68,0.93,0.79,1.35,5.68,4.62,0.96,1.33,9.68,0.98,0.98,1.41,6.79,4.83,0.96,0.78,
FMNH,140936,T. t. banguei,Offshore Islands,7.283305556,117.0999722,3.34,0.85,0.82,1.41,5.58,4.51,0.98,1.44,9.61,0.89,0.97,1.47,6.57,4.6,0.95,0.87,
AMNH ,106884,T. t. besara,Mainland Borneo,0.883333333,110.1666667,3.28,0.83,0.88,,5.94,4.16,0.97,1.42,10.59,1.16,1.07,1.41,7.39,5.23,1.09,0.96,
AMNH ,106993,T. t. besara,Mainland Borneo,0.883333333,110.1666667,3.55,0.89,0.85,1.48,6.12,4.6,0.94,1.45,11.07,0.95,0.9,1.32,7.49,,1.1,,
USNM,142247,T. t. besara,Mainland Borneo,-0.190444444,109.9185833,,1.04,0.97,,6.64,4.72,1,,,,0.97,,,5.4,,1.08,
USNM,101640,T. t. bunoae,Offshore Islands,0.933055556,107.4710556,,0.92,0.82,,5.84,4.87,1.01,1.46,,0.9,1.04,1.36,,4.47,0.81,0.91,
USNM,101641,T. t. bunoae,Offshore Islands,0.933333333,107.45,,0.85,,,5.2,4.29,0.95,1.6,9.57,0.86,0.99,1.3,6.62,4.2,0.91,0.85,
USNM,101653,T. t. bunoae,Offshore Islands,0.966666667,107.5666667,,0.81,,,5.04,,0.82,,,,0.73,,,,,0.74,
USNM,101654,T. t. bunoae,Offshore Islands,0.966666667,107.5666667,3.58,0.77,0.75,1.18,5.33,4.44,0.86,1.28,,,0.92,,6.1,,0.94,0.89,
USNM,121753,T. t. cervicalis,Offshore Islands,-0.416666667,98.41666667,3.24,0.88,1,,5.58,,1.01,1.55,,,1.11,1.41,6.69,4.76,1.07,1,
USNM,121754,T. t. cervicalis,Offshore Islands,-0.409555556,98.44105556,,0.89,0.87,,5.99,4.5,1.04,,10.08,0.93,1,1.49,6.73,4.9,0.85,0.88,
FMNH,88368,T. t. kelabit,Mainland Borneo,3.716333333,115.4429444,,0.81,0.87,,6.09,,1.03,,10.01,,0.97,,,,,,
FMNH,68789,T. t. kretami,Mainland Borneo,5.459472222,118.1758611,3.45,0.71,0.82,1.26,5.48,3.71,0.93,1.3,8.81,0.96,0.9,,6.52,4.49,0.98,0.91,
FMNH,68790,T. t. kretami,Mainland Borneo,5.459472222,118.1758611,3.21,0.86,0.77,1.27,5.77,4.46,0.96,,10.18,0.96,0.96,1.3,7.17,4.7,0.88,0.87,
FMNH,68793,T. t. kretami,Mainland Borneo,5.459472222,118.1758611,3.61,0.84,0.96,1.56,5.69,,0.97,,10.39,1.04,0.97,1.66,7.22,,0.93,,
FMNH,68795,T. t. kretami,Mainland Borneo,5.459472222,118.1758611,3.57,1.05,,,4.55,3.89,0.96,1.1,9.61,1.14,0.93,1.3,6.77,4.37,0.96,0.86,
FMNH,68797,T. t. kretami,Mainland Borneo,5.459472222,118.1758611,3.57,0.83,0.84,1.29,5.62,3.88,0.96,,,1.05,0.97,,6.46,4.44,0.99,0.97,
FMNH,68798,T. t. kretami,Mainland Borneo,5.459472222,118.1758611,3.51,0.8,0.8,1.47,4.31,3.74,0.87,,10.27,1.03,0.95,,7.21,4.89,0.98,0.85,
FMNH,85071,T. t. kretami,Mainland Borneo,5.351944444,117.40875,3.77,0.82,0.88,1.34,5.98,4.82,0.93,1.43,9.78,1,0.91,1.5,6.72,,0.98,0.75,
FMNH,85073,T. t. kretami,Mainland Borneo,5.351944444,117.40875,3.76,0.86,0.83,1.32,6.53,4.62,1,1.57,11.27,1.08,0.95,,7.65,5.19,0.92,0.82,
USNM,101597,T. t. lingae,Offshore Islands,-0.168277778,104.6343333,3.03,,0.83,,4.63,4.32,0.96,,,,,,,,,,
USNM,121835,T. t. masae,Offshore Islands,-0.110166667,98.42047222,2.93,0.95,0.93,1.67,5.32,4.19,1.03,1.57,,,1.02,1.37,,4.19,1.02,0.95,
FMNH,80086,T. t. nitida,Mainland Borneo,1.527888889,110.3411111,3.2,0.92,0.83,,,,1.02,,10.72,1.03,0.89,1.6,7.02,4.9,1.14,0.93,
FMNH,80087,T. t. nitida,Mainland Borneo,1.526888889,110.3131111,3.75,0.92,0.93,1.61,6.5,,1.04,1.6,11.32,1.1,1.12,1.43,7.95,5.29,1.01,1,
